X,Y,TNT_NAME,activity_type,address,date_fixed,latitude,longitude,repair_type,truck_name,FID
-8476959.14638882,5313574.94050174,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:48:45+00,43.0105312008832,-76.1498196405785,STREET REPAIR,DP2             ,2834
-8476962.57503021,5313574.24021451,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:49:06+00,43.0105266008811,-76.1498504405881,STREET REPAIR,DP2             ,2835
-8476967.72912429,5313573.90529436,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:49:29+00,43.0105244008789,-76.149896740603,STREET REPAIR,DP2             ,2836
-8477861.95929402,5321371.50326823,Lakefront,    Accessory On,101 KIRKPATRICK ST W & CLINTO                     ,2018/05/21 05:49:51+00,43.0617234099791,-76.1579297468929,STREET REPAIR,DP1             ,2837
-8476966.71611654,5313572.88531123,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:50:01+00,43.010517700878,-76.1498876405995,STREET REPAIR,DP2             ,2838
-8477860.4453485,5321372.44792128,Lakefront,    Accessory On,101 KIRKPATRICK ST W & CLINTO                     ,2018/05/21 05:50:25+00,43.0617296099808,-76.1579161468889,STREET REPAIR,DP1             ,2839
-8476960.15939646,5313573.95096565,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:51:01+00,43.0105247008816,-76.1498287405809,STREET REPAIR,DP2             ,2840
-8477852.10751563,5321366.73429638,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 05:51:12+00,43.0616921099768,-76.1578412468619,STREET REPAIR,DP1             ,2841
-8476969.55476449,5313573.09844188,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:51:24+00,43.0105191008773,-76.1499131406079,STREET REPAIR,DP2             ,2842
-8477839.85123498,5321352.57975755,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 05:51:55+00,43.061599209964,-76.1577311468195,STREET REPAIR,DP1             ,2843
-8476975.04281717,5313573.32679603,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:52:01+00,43.0105206008757,-76.149962440624,STREET REPAIR,DP2             ,2844
-8476974.87583804,5313576.38674606,Southside,    Accessory On,145 CONAN ST & BALLANTYNE RD                      ,2018/05/21 05:52:33+00,43.0105407008795,-76.149960940625,STREET REPAIR,DP2             ,2845
-8477841.66574321,5321351.43703454,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 05:52:56+00,43.061591709962,-76.1577474468242,STREET REPAIR,DP1             ,2846
-8476987.86682657,5313571.28682923,Southside,    Accessory On,617 BALLANTYNE RD                                 ,2018/05/21 05:53:23+00,43.0105072008688,-76.1500776406604,STREET REPAIR,DP2             ,2847
-8477853.43221786,5321364.03746636,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 05:53:59+00,43.0616744099731,-76.1578531468645,STREET REPAIR,DP1             ,2848
-8477075.675668,5313544.90431775,Valley,    Accessory On,627 BALLANTYNE RD & CORAL AVE                     ,2018/05/21 05:55:13+00,43.0103339008063,-76.1508664409038,STREET REPAIR,DP2             ,2849
-8477820.70427577,5321341.60962432,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 05:56:27+00,43.0615272099575,-76.1575591467585,STREET REPAIR,DP1             ,2850
-8477783.08940607,5321312.05127316,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 06:00:17+00,43.0613332099349,-76.1572212466348,STREET REPAIR,DP1             ,2851
-8477761.4266254,5321298.11012474,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 06:01:38+00,43.0612417099257,-76.1570266465651,STREET REPAIR,DP1             ,2852
-8477756.61762118,5321285.76879684,Lakefront,    Accessory On,800 CLINTON ST N & SPENCER ST                     ,2018/05/21 06:03:54+00,43.0611607099125,-76.1569834465453,STREET REPAIR,DP1             ,2853
-8475943.86777929,5313643.66028309,Southside,    Accessory On,135 WALRATH RD                                    ,2018/05/21 06:42:33+00,43.010982601319,-76.1406992376527,STREET REPAIR,DP2             ,2854
-8475944.59135639,5313646.97905982,Southside,    Accessory On,135 WALRATH RD                                    ,2018/05/21 06:43:31+00,43.0110044013227,-76.1407057376563,STREET REPAIR,DP2             ,2855
-8475945.67115586,5313648.24263105,Southside,    Accessory On,135 WALRATH RD                                    ,2018/05/21 06:44:09+00,43.0110127013239,-76.1407154376601,STREET REPAIR,DP2             ,2856
-8475941.08479153,5313651.51573841,Southside,    Accessory On,135 WALRATH RD                                    ,2018/05/21 06:44:47+00,43.0110342013294,-76.1406742376483,STREET REPAIR,DP2             ,2857
-8475950.98109716,5313645.63936963,Southside,    Accessory On,135 WALRATH RD                                    ,2018/05/21 06:45:50+00,43.0109956013189,-76.1407631376743,STREET REPAIR,DP2             ,2858
-8476168.56677319,5323700.6221853,Northside,    Accessory On,201 HILLSIDE ST & KUHL AVE                        ,2018/05/21 06:48:51+00,43.0770081133757,-76.1427177430581,STREET REPAIR,DP1             ,2859
-8476167.64282112,5323700.69838604,Northside,    Accessory On,201 HILLSIDE ST & KUHL AVE                        ,2018/05/21 06:50:43+00,43.0770086133761,-76.1427094430555,STREET REPAIR,DP1             ,2860
-8476168.36639803,5323700.56122477,Northside,    Accessory On,201 HILLSIDE ST & KUHL AVE                        ,2018/05/21 06:53:14+00,43.0770077133757,-76.1427159430575,STREET REPAIR,DP1             ,2861
-8476194.24818835,5323706.33723718,Northside,    Accessory On,201 HILLSIDE ST & KUHL AVE                        ,2018/05/21 06:55:01+00,43.0770456133736,-76.1429484431357,STREET REPAIR,DP1             ,2862
-8477795.94638357,5313177.15541308,Valley,    Accessory On,132 CAMP AVE                                      ,2018/05/21 06:55:15+00,43.0079182001117,-76.1573367428288,STREET REPAIR,DP2             ,2863
-8477781.33012952,5313174.03470256,Valley,    Accessory On,132 CAMP AVE                                      ,2018/05/21 06:56:54+00,43.007897700113,-76.1572054427847,STREET REPAIR,DP2             ,2864
-8477770.99967722,5313170.25940499,Valley,    Accessory On,101-35 MAINS AVE & CAMP AVE TO V                  ,2018/05/21 06:57:37+00,43.007872900112,-76.1571126427529,STREET REPAIR,DP2             ,2865
